book_name,author,genre,publication_year,rating,total ratings,reviews,cover,page_link,page,binding,year,cluster
Bloodroot,Amy Greene,Fiction,"First published January 1, 2010",3.78,8014,1492,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320495722i/6595962.jpg,https://www.goodreads.com/book/show/6595962-bloodroot,291, Hardcover,2010,less visited
Hari-Hari Bahagia di Bullerbyn,Astrid Lindgren,Childrens,"First published January 1, 1952",4.16,846,37,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1614984075i/1327699.jpg,https://www.goodreads.com/book/show/1327699.Hari_Hari_Bahagia_di_Bullerbyn,136, Paperback,1952,less visited
In the Shadow of Young Girls in Flower,Marcel Proust,Classics,"First published June 23, 1919",4.39,13417,1204,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1657565086i/28385.jpg,https://www.goodreads.com/book/show/28385.In_the_Shadow_of_Young_Girls_in_Flower,533, Paperback,1919,less visited
"Preacher, Volume 6: War in the Sun",Garth Ennis,Comics,"First published March 1, 1999",4.33,20054,266,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348266389i/102957.jpg,https://www.goodreads.com/book/show/102957.Preacher_Volume_6,240, Comics,1999,less visited
The Pragmatic Programmer: From Journeyman to Master,Andy Hunt,Programming,"First published October 20, 1999",4.33,20042,1255,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1401432508i/4099.jpg,https://www.goodreads.com/book/show/4099.The_Pragmatic_Programmer,321, Paperback,1999,less visited
An Uncommon Education,Elizabeth Percer,Fiction,"First published May 1, 2012",3.14,1237,223,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1334937461i/13155103.jpg,https://www.goodreads.com/book/show/13155103-an-uncommon-education,342, Hardcover,2012,less visited
Brain on Fire: My Month of Madness,Susannah Cahalan,Nonfiction,"First published November 13, 2012",4.08,203088,14597,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1353173297i/13547180.jpg,https://www.goodreads.com/book/show/13547180-brain-on-fire,250, Hardcover,2012,less visited
Animal Farm,George Orwell,Classics,"First published August 17, 1945",3.98,3509209,81281,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1325861570i/170448.jpg,https://www.goodreads.com/book/show/170448.Animal_Farm,141, Mass Market Paperback,1945,highely visited
Ética promiscua,Dossie Easton,Nonfiction,"First published January 1, 1997",3.92,19741,1788,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1409902575i/22881333.jpg,https://www.goodreads.com/book/show/22881333-tica-promiscua,416, Paperback,1997,less visited
The Education of Henry Adams,Henry Adams,Biography,"First published January 1, 1918",3.64,4563,402,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1315117472i/82896.jpg,https://www.goodreads.com/book/show/82896.The_Education_of_Henry_Adams,320, Paperback,1918,less visited
Enduring Love,Ian McEwan,Fiction,"First published January 1, 1997",3.64,42243,2459,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1313656531i/6870.jpg,https://www.goodreads.com/book/show/6870.Enduring_Love,245, Paperback,1997,less visited
Mr. Britling Sees it Through,H.G. Wells,Fiction,"First published September 1, 1916",3.69,235,52,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348269072i/787234.jpg,https://www.goodreads.com/book/show/787234.Mr_Britling_Sees_it_Through,384, Paperback,1916,less visited
The Sounding,Carrie Salo,Paranormal,"First published February 11, 2014",4.05,127,42,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348735404i/13010310.jpg,https://www.goodreads.com/book/show/13010310-the-sounding,478, Paperback,2014,less visited
Truthwitch,Susan Dennard,Fantasy,"First published January 5, 2016",3.86,49593,7907,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1428675822i/21414439.jpg,https://www.goodreads.com/book/show/21414439-truthwitch,416, Kindle Edition,2016,less visited
Wuthering Heights,Emily Brontë,Classics,"First published December 1, 1847",3.88,1658845,52503,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388212715i/6185.jpg,https://www.goodreads.com/book/show/6185.Wuthering_Heights,464, Paperback,1847,average visited
Plan B,Jonathan Tropper,Fiction,"First published February 5, 2000",3.67,8079,608,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1389053832i/53849.jpg,https://www.goodreads.com/book/show/53849.Plan_B,368, Paperback,2000,less visited
Till We Have Faces,C.S. Lewis,Fiction,"First published January 1, 1956",4.18,64297,5401,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1381692105i/17343.jpg,https://www.goodreads.com/book/show/17343.Till_We_Have_Faces,313, Paperback,1956,less visited
Disney's Prince and the Pauper,Walt Disney Company,Childrens,"First published November 1, 1990",4.04,1585,44,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347137403i/1298201.jpg,https://www.goodreads.com/book/show/1298201.Disney_s_Prince_and_the_Pauper,96, Hardcover,1990,less visited
The Romantic Generation,Charles Rosen,Music,"First published January 1, 1995",4.34,195,15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1349005275i/529757.jpg,https://www.goodreads.com/book/show/529757.The_Romantic_Generation,744, Paperback,1995,less visited
Beneath a Navajo Moon,Lisa Carter,Mystery,"First published March 1, 2014",3.73,274,71,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1421708242i/18475292.jpg,https://www.goodreads.com/book/show/18475292-beneath-a-navajo-moon,336, Paperback,2014,less visited
The Red Badge of Courage,Stephen Crane,Classics,"First published October 1, 1895",3.28,100052,4123,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327936136i/35220.jpg,https://www.goodreads.com/book/show/35220.The_Red_Badge_of_Courage,149, Paperback,1895,less visited
Anne of Green Gables,L.M. Montgomery,Classics,"First published January 1, 1908",4.3,904452,33382,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1615094578i/8127.jpg,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables,320, Paperback,1908,average visited
Morphology of the Folktale,Vladimir Propp,Nonfiction,"First published January 1, 1928",4.01,1801,151,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1387732995i/414789.jpg,https://www.goodreads.com/book/show/414789.Morphology_of_the_Folktale,158, Paperback,1928,less visited
Streets of Laredo,Larry McMurtry,Westerns,"First published January 1, 1993",4.02,16784,888,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1371294481i/54812.jpg,https://www.goodreads.com/book/show/54812.Streets_of_Laredo,547, Paperback,1993,less visited
The Origin of Species,Charles Darwin,Science,"First published January 1, 1859",4.0,109889,2915,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1298417570i/22463.jpg,https://www.goodreads.com/book/show/22463.The_Origin_of_Species,703, Hardcover,1859,less visited
Obsidian,Laurann Dohner,Paranormal,"First published August 28, 2012",4.2,16131,771,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1332953010i/13564125.jpg,https://www.goodreads.com/book/show/13564125-obsidian,200, ebook,2012,less visited
"Mayflower: A Story of Courage, Community, and War",Nathaniel Philbrick,History,"First published May 9, 2006",3.87,42152,3042,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1474488130i/4820.jpg,https://www.goodreads.com/book/show/4820.Mayflower,461, Hardcover,2006,less visited
The Carer,Scott Nelson,Horror,"First published May 8, 2014",4.18,89,14,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1400057877i/22085174.jpg,https://www.goodreads.com/book/show/22085174-the-carer,106, Kindle Edition,2014,less visited
Objects in Mirror Are Closer Than They Appear,Katharine Weber,Fiction,"First published January 1, 1995",3.21,219,30,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1312067220i/459155.jpg,https://www.goodreads.com/book/show/459155.Objects_in_Mirror_Are_Closer_Than_They_Appear,272, Paperback,1995,less visited
Solacers,Arion Golmakani,Memoir,"First published January 1, 2012",4.28,513,56,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1304121230i/11244026.jpg,https://www.goodreads.com/book/show/11244026-solacers,297, Paperback,2012,less visited
Secret Daughter,Shilpi Somaya Gowda,Fiction,"First published March 9, 2010",3.99,73059,5714,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347708559i/6905012.jpg,https://www.goodreads.com/book/show/6905012-secret-daughter,339, Hardcover,2010,less visited
The Joke,Milan Kundera,Fiction,"First published January 1, 1967",4.02,32218,1600,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1448044837i/26114.jpg,https://www.goodreads.com/book/show/26114.The_Joke,371, Paperback,1967,less visited
The War of Mists,Robert Fanney,Fantasy,"First published December 1, 2008",4.24,465,76,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347758452i/6655491.jpg,https://www.goodreads.com/book/show/6655491-the-war-of-mists,364, Paperback,2008,less visited
That Night,Chevy Stevens,Mystery,"First published June 17, 2014",3.99,22840,2689,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1387743514i/19826961.jpg,https://www.goodreads.com/book/show/19826961-that-night,384, Kindle Edition,2014,less visited
The Secret Jesus: A Modern Novel,Sue Stephenson,Fiction,"Published January 26, 2020",4.11,37,11,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1580413431i/50724469.jpg,https://www.goodreads.com/book/show/50724469-the-secret-jesus,352, Kindle Edition,2020,less visited
The Wandering Fire,Guy Gavriel Kay,Fantasy,"First published May 1, 1986",4.12,16912,585,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1389962006i/104088.jpg,https://www.goodreads.com/book/show/104088.The_Wandering_Fire,375, Paperback,1986,less visited
Good Times/Bad Times,James Kirkwood Jr.,Fiction,"First published January 1, 1968",4.21,528,62,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1313254507i/205973.jpg,https://www.goodreads.com/book/show/205973.Good_Times_Bad_Times,288, Mass Market Paperback,1968,less visited
Heads or Tails,Leslie A. Gordon,Fiction,"First published May 31, 2015",3.86,708,81,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1433049189i/25635125.jpg,https://www.goodreads.com/book/show/25635125-heads-or-tails,230, Kindle Edition,2015,less visited
L'amico ritrovato,Fred Uhlman,Classics,"First published January 1, 1971",4.03,25802,1775,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1458377290i/3385591.jpg,https://www.goodreads.com/book/show/3385591-l-amico-ritrovato,92, Paperback,1971,less visited
"Ramona Quimby, Age 8",Beverly Cleary,Childrens,"First published January 1, 1981",4.1,71006,1735,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1300270683i/91253.jpg,https://www.goodreads.com/book/show/91253.Ramona_Quimby_Age_8,190, Paperback,1981,less visited
A Fire Upon the Deep,Vernor Vinge,Science Fiction,"First published April 1, 1992",4.13,57273,2815,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1333915005i/77711.jpg,https://www.goodreads.com/book/show/77711.A_Fire_Upon_the_Deep,613, Mass Market Paperback,1992,less visited
Wayward,Blake Crouch,Science Fiction,"First published September 17, 2013",4.14,59232,3447,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388363926i/17920175.jpg,https://www.goodreads.com/book/show/17920175-wayward,298, Paperback,2013,less visited
El siglo de las luces,Alejo Carpentier,Fiction,"First published January 1, 1962",4.13,2695,170,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1354467957i/59504.jpg,https://www.goodreads.com/book/show/59504.El_siglo_de_las_luces,300, Paperback,1962,less visited
The 5000 Year Leap: A Miracle That Changed the World,W. Cleon Skousen,History,"First published June 1, 1981",4.27,6900,956,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347564075i/1217881.jpg,https://www.goodreads.com/book/show/1217881.The_5000_Year_Leap,337, Paperback,1981,less visited
"Smarter Tomorrow: How 15 Minutes of Neurohacking a Day Can Help You Work Better, Think Faster, and Get More Done",Elizabeth R. Ricker,Self Help,"Published August 17, 2021",3.74,185,54,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1621526281i/53019437.jpg,https://www.goodreads.com/book/show/53019437-smarter-tomorrow,368, Hardcover,2021,less visited
Wicked Appetite,Janet Evanovich,Mystery,"First published September 14, 2009",3.78,55735,4867,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442876280i/8205669.jpg,https://www.goodreads.com/book/show/8205669-wicked-appetite,319, Hardcover,2009,less visited
The Curious Incident of the Dog in the Night-Time,Mark Haddon,Fiction,"First published July 31, 2003",3.89,1397526,51657,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1479863624i/1618.jpg,https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,226, Paperback,2003,average visited
A Medicine for Melancholy and Other Stories,Ray Bradbury,Short Stories,"First published February 1, 1998",4.16,7770,561,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1407110065i/91885.jpg,https://www.goodreads.com/book/show/91885.A_Medicine_for_Melancholy_and_Other_Stories,307, Paperback,1998,less visited
An Infamous Army,Georgette Heyer,Historical Fiction,"First published January 1, 1937",3.69,4364,403,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320463470i/311226.jpg,https://www.goodreads.com/book/show/311226.An_Infamous_Army,431, Paperback,1937,less visited
A Study in Scarlet / The Hound of the Baskervilles,Arthur Conan Doyle,Mystery,"First published January 1, 1887",4.03,2743,87,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1578908558i/918786.jpg,https://www.goodreads.com/book/show/918786.A_Study_in_Scarlet_The_Hound_of_the_Baskervilles,301, Hardcover,1887,less visited
Angry Housewives Eating Bon Bons,Lorna Landvik,Fiction,"First published March 4, 2003",3.81,36025,3407,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388200872i/16249.jpg,https://www.goodreads.com/book/show/16249.Angry_Housewives_Eating_Bon_Bons,512, Paperback,2003,less visited
خشم و هیاهو,William Faulkner,Classics,"First published October 7, 1929",3.86,173595,8480,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1506447740i/8285672.jpg,https://www.goodreads.com/book/show/8285672,430, Paperback,1929,less visited
Dead or Alive,Tom Clancy,Fiction,"First published December 7, 2010",3.87,17472,1133,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1391052641i/7997069.jpg,https://www.goodreads.com/book/show/7997069-dead-or-alive,950, Hardcover,2010,less visited
The Drifters,James A. Michener,Fiction,"First published January 1, 1971",4.05,7762,475,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1631968302i/42955.jpg,https://www.goodreads.com/book/show/42955.The_Drifters,768, Paperback,1971,less visited
Through God's Eye,Carolyn Cutler Hughes,Fiction,"Published January 15, 2016",4.26,658,7,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1577416544i/49966944.jpg,https://www.goodreads.com/book/show/49966944-through-god-s-eye,34, Paperback,2016,less visited
Genesis,Eduardo Galeano,History,"First published January 1, 1982",4.34,2161,197,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388547039i/264891.jpg,https://www.goodreads.com/book/show/264891.Genesis,336, Paperback,1982,less visited
3001: The Final Odyssey,Arthur C. Clarke,Science Fiction,"First published January 1, 1999",3.57,24709,973,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388271918i/63432.jpg,https://www.goodreads.com/book/show/63432.3001,272, Mass Market Paperback,1999,less visited
New Selected Poems 1966-1987,Seamus Heaney,Poetry,"First published January 1, 1990",4.18,2749,108,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1556744514i/19243.jpg,https://www.goodreads.com/book/show/19243.New_Selected_Poems_1966_1987,246, Paperback,1990,less visited
Dream a Little Dream,Susan Elizabeth Phillips,Romance,"First published February 1, 1998",4.17,33671,1469,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1308818689i/73095.jpg,https://www.goodreads.com/book/show/73095.Dream_a_Little_Dream,400, Paperback,1998,less visited
The House at Pooh Corner,A.A. Milne,Classics,"First published January 1, 1928",4.37,87285,1952,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348195621i/776407.jpg,https://www.goodreads.com/book/show/776407.The_House_at_Pooh_Corner,180, Hardcover,1928,less visited
Out of My Mind,Sharon M. Draper,Realistic Fiction,"First published March 9, 2010",4.36,146192,16390,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347602096i/6609765.jpg,https://www.goodreads.com/book/show/6609765-out-of-my-mind,295, Hardcover,2010,less visited
My Name Is Aram,William Saroyan,Fiction,"First published January 1, 1940",4.15,1745,171,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1392003599i/28308.jpg,https://www.goodreads.com/book/show/28308.My_Name_Is_Aram,151, Paperback,1940,less visited
Fire Study,Maria V. Snyder,Fantasy,"First published January 1, 2008",3.92,60262,4124,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1357064290i/1966969.jpg,https://www.goodreads.com/book/show/1966969.Fire_Study,441, Paperback,2008,less visited
Outcast,Rosemary Sutcliff,Historical Fiction,"First published January 1, 1955",3.97,835,88,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1408925160i/149416.jpg,https://www.goodreads.com/book/show/149416.Outcast,254, Paperback,1955,less visited
Angel,Elizabeth Taylor,Fiction,"First published January 1, 1957",3.85,2389,382,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328729193i/647121.jpg,https://www.goodreads.com/book/show/647121.Angel,252, Paperback,1957,less visited
The Tempest,William Shakespeare,Classics,"First published January 1, 1611",3.79,197231,5679,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546081115i/12985.jpg,https://www.goodreads.com/book/show/12985.The_Tempest,218, Mass Market Paperback,1611,less visited
The Secret of Platform 13,Eva Ibbotson,Fantasy,"First published March 25, 1994",3.94,14037,962,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1443418592i/132541.jpg,https://www.goodreads.com/book/show/132541.The_Secret_of_Platform_13,231, Paperback,1994,less visited
Unfinished Symphony,V.C. Andrews,Fiction,"First published January 1, 1997",3.83,6744,90,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388438018i/660521.jpg,https://www.goodreads.com/book/show/660521.Unfinished_Symphony,384, Paperback,1997,less visited
"Anarquistas, graças a Deus",Zélia Gattai,Nonfiction,"First published January 1, 1979",4.21,745,50,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1363458026i/6458142.jpg,https://www.goodreads.com/book/show/6458142-anarquistas-gra-as-a-deus,318, Kindle Edition,1979,less visited
Away with the Fairies,Jenny Twist,Fantasy,"First published September 12, 2012",3.87,116,40,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348147608i/16036683.jpg,https://www.goodreads.com/book/show/16036683-away-with-the-fairies,30, Kindle Edition,2012,less visited
Politically Correct Death: Answering the Arguments for Abortion Rights,Francis J. Beckwith,Philosophy,"First published April 1, 1993",4.34,29,6,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386922280i/213512.jpg,https://www.goodreads.com/book/show/213512.Politically_Correct_Death,256, Paperback,1993,less visited
Frog and Toad Together,Arnold Lobel,Childrens,"First published April 26, 1972",4.24,42939,791,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1638746369i/94803.jpg,https://www.goodreads.com/book/show/94803.Frog_and_Toad_Together,64, Paperback,1972,less visited
Margreete's Harbor,Eleanor Morse,Historical Fiction,"First published April 20, 2021",3.86,841,271,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1610927034i/53137910.jpg,https://www.goodreads.com/book/show/53137910-margreete-s-harbor,384, Hardcover,2021,less visited
Clifford the Big Red Dog,Norman Bridwell,Childrens,"First published January 1, 1963",4.16,86713,938,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388851547i/858719.jpg,https://www.goodreads.com/book/show/858719.Clifford_the_Big_Red_Dog,32, Paperback,1963,less visited
The Invisible Cord,Catherine Cookson,Fiction,"First published January 1, 1975",3.99,461,10,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1331944766i/12416974.jpg,https://www.goodreads.com/book/show/12416974-the-invisible-cord,375, Kindle Edition,1975,less visited
The Bridge of Beyond,Simone Schwarz-Bart,Fiction,"First published January 1, 1972",4.11,838,124,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1483794942i/474968.jpg,https://www.goodreads.com/book/show/474968.The_Bridge_of_Beyond,174, Paperback,1972,less visited
The Sluts,Dennis Cooper,Fiction,"First published January 1, 2004",3.82,3148,573,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1389070385i/51587.jpg,https://www.goodreads.com/book/show/51587.The_Sluts,271, Paperback,2004,less visited
Chicken Soup with Rice: A Book of Months,Maurice Sendak,Picture Books,"First published January 1, 1962",4.24,30343,551,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388259279i/590552.jpg,https://www.goodreads.com/book/show/590552.Chicken_Soup_with_Rice,32, Paperback,1962,less visited
Herself Surprised,Joyce Cary,Fiction,"First published January 1, 1941",3.82,346,42,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1391096162i/376494.jpg,https://www.goodreads.com/book/show/376494.Herself_Surprised,248, Paperback,1941,less visited
Baby,J.K. Accinni,Science Fiction,"First published August 26, 2012",3.8,878,228,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1370910498i/15992857.jpg,https://www.goodreads.com/book/show/15992857-baby,173, Kindle Edition,2012,less visited
"The Masks of God, Volume 4: Creative Mythology",Joseph Campbell,Mythology,"First published January 1, 1968",4.29,1672,54,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1609828547i/985519.jpg,https://www.goodreads.com/book/show/985519.The_Masks_of_God_Volume_4,752, Paperback,1968,less visited
Powerful: Building a Culture of Freedom and Responsibility,Patty McCord,Business,"First published January 9, 2018",4.08,6301,494,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1508080358i/36417234.jpg,https://www.goodreads.com/book/show/36417234-powerful,228, Hardcover,2018,less visited
Shadows in the Salon,Kirsten Fullmer,Mystery,"First published July 30, 2020",4.32,478,39,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1595945988i/54733499.jpg,https://www.goodreads.com/book/show/54733499-shadows-in-the-salon,280, Paperback,2020,less visited
The Lord of the Rings,J.R.R. Tolkien,Fantasy,"First published October 20, 1955",4.52,638417,13621,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1566425108i/33.jpg,https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings,1216, Paperback,1955,average visited
The Unbearable Book Club for Unsinkable Girls,Julie Schumacher,Young Adult,"First published May 8, 2012",3.2,1373,300,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1333578336i/12858678.jpg,https://www.goodreads.com/book/show/12858678-the-unbearable-book-club-for-unsinkable-girls,240, Hardcover,2012,less visited
Rikki-Tikki-Tavi,Jerry Pinkney,Classics,"First published January 1, 1894",3.9,17328,634,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388410608i/577542.jpg,https://www.goodreads.com/book/show/577542.Rikki_Tikki_Tavi,48, Hardcover,1894,less visited
Clockwork Angel; Clockwork Prince; Clockwork Princess,Cassandra Clare,Fantasy,"First published March 19, 2013",4.66,16569,670,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1358832206i/15803693.jpg,https://www.goodreads.com/book/show/15803693-clockwork-angel-clockwork-prince-clockwork-princess,1520, ebook,2013,less visited
